coordinate[cm],Fission rate density change,Uncertanity,+sigma,-sigma
157,3.93E+017,0.02156,4.0147308E+017,3.8452692E+017
158,4.831E+017,0.02069,4.93095339E+017,4.73104661E+017
159,4.377E+017,0.02215,4.47395055E+017,4.28004945E+017
160,6.40599999999998E+017,0.02208,6.54744447999998E+017,6.26455551999998E+017
161,6.032E+017,0.02269,6.16886608E+017,5.89513392E+017
162,5.875E+017,0.02299,6.01006625E+017,5.73993375E+017
163,8.30199999999998E+017,0.02276,8.49095351999998E+017,8.11304647999998E+017
164,5.88900000000002E+017,0.02307,6.02485923000002E+017,5.75314077000002E+017
165,4.88029999999998E+017,0.0234,4.99449901999998E+017,4.76610097999998E+017
166,1.717E+017,0.02243,1.75551231E+017,1.67848769E+017
167,6.9928E+017,0.0224,7.14943872E+017,6.83616128E+017
168,4.407E+017,0.02481,4.51633767E+017,4.29766233E+017
169,4.1798E+017,0.02425,4.28116015E+017,4.07843985E+017
170,4.9004E+017,0.02466,5.021243864E+017,4.779556136E+017
171,4.74329999999999E+017,0.02421,4.85813529299999E+017,4.62846470699999E+017
172,8.36689999999999E+017,0.02524,8.57808055599999E+017,8.15571944399999E+017
173,7.2742E+017,0.02606,7.463765652E+017,7.084634348E+017
174,6.7006E+017,0.02598,6.874681588E+017,6.526518412E+017
175,5.7627E+017,0.02765,5.922038655E+017,5.603361345E+017
176,4.0351E+017,0.02522,4.136865222E+017,3.933334778E+017
177,9.9988E+017,0.02674,1.0266167912E+018,9.731432088E+017
178,5.8047E+017,0.02979,5.977622013E+017,5.631777987E+017
179,6.1196E+017,0.02783,6.289908468E+017,5.949291532E+017
180,5.6661E+017,0.02975,5.834666475E+017,5.497533525E+017
181,8.29479999999999E+017,0.03088,8.55094342399999E+017,8.03865657599999E+017
182,6.4521E+017,0.02973,6.643920933E+017,6.260279067E+017
183,5.4857E+017,0.03152,5.658609264E+017,5.312790736E+017
184,7.2001E+017,0.03275,7.435903275E+017,6.964296725E+017
185,5.5252E+017,0.0321,5.70255892E+017,5.34784108E+017
186,3.6321E+017,0.03298,3.751886658E+017,3.512313342E+017
187,3.8372E+017,0.03376,3.966743872E+017,3.707656128E+017
188,4.49730000000001E+017,0.03393,4.64989338900001E+017,4.34470661100001E+017
189,3.70389999999999E+017,0.03582,3.83657369799999E+017,3.57122630199999E+017
190,4.1321E+017,0.03694,4.284739774E+017,3.979460226E+017
191,4.2538E+017,0.03742,4.412977196E+017,4.094622804E+017
192,2.988E+017,0.04131,3.11143428E+017,2.86456572E+017
193,4.1058E+017,0.04465,4.28912397E+017,3.92247603E+017
194,3.1854E+017,0.04687,3.334699698E+017,3.036100302E+017
195,3.2601E+017,0.0451,3.40713051E+017,3.11306949E+017
196,2.5832E+017,0.05108,2.715149856E+017,2.451250144E+017
197,2.2243E+017,0.05156,2.338984908E+017,2.109615092E+017
198,2.2034E+017,0.05526,2.325159884E+017,2.081640116E+017
199,1.9392E+017,0.06309,2.061544128E+017,1.816855872E+017
200,1.26912E+017,0.08005,1.370713056E+017,1.167526944E+017
